competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,2018,WC-2018-MD001,5,GOAL,ロシア,Aleksandr Golovin,,90+4,2H,GL1,サウジアラビア,
WC,2018,WC-2018-MD002,1,GOAL,ウルグアイ,José Giménez,,89,2H,GL1,エジプト,
WC,2018,WC-2018-MD003,1,OWN_GOAL,イラン,Aziz Bouhaddouz,,90+5,2H,GL1,モロッコ,
WC,2018,WC-2018-MD004,1,GOAL,ポルトガル,Cristiano Ronaldo,,4,1H,GL1,スペイン,PK
WC,2018,WC-2018-MD004,2,GOAL,スペイン,Diego Costa,,24,1H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,3,GOAL,ポルトガル,Cristiano Ronaldo,,44,1H,GL1,スペイン,
WC,2018,WC-2018-MD004,4,GOAL,スペイン,Diego Costa,,55,2H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,5,GOAL,スペイン,Nacho,,58,2H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,6,GOAL,ポルトガル,Cristiano Ronaldo,,88,2H,GL1,スペイン,
WC,2018,WC-2018-MD005,1,GOAL,フランス,Antoine Griezmann,,58,2H,GL1,オーストラリア,PK
WC,2018,WC-2018-MD005,2,GOAL,オーストラリア,Mile Jedinak,,62,2H,GL1,フランス,PK
WC,2018,WC-2018-MD005,3,OWN_GOAL,フランス,Aziz Behich,,81,2H,GL1,オーストラリア,
WC,2018,WC-2018-MD006,1,GOAL,アルゼンチン,Sergio Agüero,,19,1H,GL1,アイスランド,
WC,2018,WC-2018-MD006,2,GOAL,アイスランド,Alfreð Finnbogason,,23,1H,GL1,アルゼンチン,
WC,2018,WC-2018-MD007,1,GOAL,デンマーク,Yussuf Poulsen,,59,2H,GL1,ペルー,
WC,2018,WC-2018-MD008,1,OWN_GOAL,クロアチア,Peter Etebo,,32,1H,GL1,ナイジェリア,
WC,2018,WC-2018-MD008,2,GOAL,クロアチア,Luka Modrić,,71,2H,GL1,ナイジェリア,PK
WC,2018,WC-2018-MD009,1,GOAL,セルビア,Aleksandar Kolarov,,56,2H,GL1,コスタリカ,
WC,2018,WC-2018-MD010,1,GOAL,メキシコ,Hirving Lozano,,35,1H,GL1,ドイツ,
WC,2018,WC-2018-MD011,1,GOAL,ブラジル,Philippe Coutinho,,20,1H,GL1,スイス,
WC,2018,WC-2018-MD011,2,GOAL,スイス,Steven Zuber,,50,2H,GL1,ブラジル,
WC,2018,WC-2018-MD012,1,GOAL,スウェーデン,Andreas Granqvist,,65,2H,GL1,韓国,PK
WC,2018,WC-2018-MD013,1,GOAL,ベルギー,Dries Mertens,,47,2H,GL1,パナマ,
WC,2018,WC-2018-MD013,2,GOAL,ベルギー,Romelu Lukaku,,69,2H,GL1,パナマ,
WC,2018,WC-2018-MD013,3,GOAL,ベルギー,Romelu Lukaku,,75,2H,GL1,パナマ,
WC,2018,WC-2018-MD014,1,GOAL,イングランド,Harry Kane,,11,1H,GL1,チュニジア,
WC,2018,WC-2018-MD014,2,GOAL,チュニジア,Ferjani Sassi,,35,1H,GL1,イングランド,PK
WC,2018,WC-2018-MD014,3,GOAL,イングランド,Harry Kane,,90+1,2H,GL1,チュニジア,
WC,2018,WC-2018-MD015,1,GOAL,日本,Shinji Kagawa,,6,1H,GL1,コロンビア,PK
WC,2018,WC-2018-MD015,2,GOAL,コロンビア,Juan Fernando Quintero,,39,1H,GL1,日本,
WC,2018,WC-2018-MD015,3,GOAL,日本,Yuya Osako,,73,2H,GL1,コロンビア,
WC,2018,WC-2018-MD016,1,OWN_GOAL,セネガル,Thiago Cionek,,37,1H,GL1,ポーランド,
WC,2018,WC-2018-MD016,2,GOAL,セネガル,M'Baye Niang,,60,2H,GL1,ポーランド,
WC,2018,WC-2018-MD016,3,GOAL,ポーランド,Grzegorz Krychowiak,,86,2H,GL1,セネガル,
WC,2018,WC-2018-MD017,1,OWN_GOAL,ロシア,Ahmed Fathy,,47,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,2,GOAL,ロシア,Denis Cheryshev,,59,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,3,GOAL,ロシア,Artem Dzyuba,,62,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,4,GOAL,エジプト,Mohamed Salah,,73,2H,GL2,ロシア,PK
WC,2018,WC-2018-MD018,1,GOAL,ポルトガル,Cristiano Ronaldo,,4,1H,GL2,モロッコ,
WC,2018,WC-2018-MD019,1,GOAL,ウルグアイ,Luis Suárez,,23,1H,GL2,サウジアラビア,
WC,2018,WC-2018-MD020,1,GOAL,スペイン,Diego Costa,,54,2H,GL2,イラン,
WC,2018,WC-2018-MD021,1,GOAL,デンマーク,Christian Eriksen,,7,1H,GL2,オーストラリア,
WC,2018,WC-2018-MD021,2,GOAL,オーストラリア,Mile Jedinak,,38,1H,GL2,デンマーク,PK
WC,2018,WC-2018-MD022,1,GOAL,フランス,Kylian Mbappé,,34,1H,GL2,ペルー,
WC,2018,WC-2018-MD023,1,GOAL,クロアチア,Ante Rebić,,53,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD023,2,GOAL,クロアチア,Luka Modrić,,80,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD023,3,GOAL,クロアチア,Ivan Rakitić,,90+1,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD024,1,GOAL,ブラジル,Philippe Coutinho,,90+1,2H,GL2,コスタリカ,
WC,2018,WC-2018-MD024,2,GOAL,ブラジル,Neymar,,90+7,2H,GL2,コスタリカ,
WC,2018,WC-2018-MD025,1,GOAL,ナイジェリア,Ahmed Musa,,49,2H,GL2,アイスランド,
WC,2018,WC-2018-MD025,2,GOAL,ナイジェリア,Ahmed Musa,,75,2H,GL2,アイスランド,
WC,2018,WC-2018-MD026,1,GOAL,セルビア,Aleksandar Mitrović,,5,1H,GL2,スイス,
WC,2018,WC-2018-MD026,2,GOAL,スイス,Granit Xhaka,,52,2H,GL2,セルビア,
WC,2018,WC-2018-MD026,3,GOAL,スイス,Xherdan Shaqiri,,90,2H,GL2,セルビア,
WC,2018,WC-2018-MD027,1,GOAL,ベルギー,Eden Hazard,,6,1H,GL2,チュニジア,PK
WC,2018,WC-2018-MD027,2,GOAL,ベルギー,Romelu Lukaku,,16,1H,GL2,チュニジア,
WC,2018,WC-2018-MD027,3,GOAL,チュニジア,Dylan Bronn,,18,1H,GL2,ベルギー,
WC,2018,WC-2018-MD027,4,GOAL,ベルギー,Romelu Lukaku,,45+3,1H,GL2,チュニジア,
WC,2018,WC-2018-MD027,5,GOAL,ベルギー,Eden Hazard,,51,2H,GL2,チュニジア,
WC,2018,WC-2018-MD027,6,GOAL,ベルギー,Michy Batshuayi,,90,2H,GL2,チュニジア,
WC,2018,WC-2018-MD027,7,GOAL,チュニジア,Wahbi Khazri,,90+3,2H,GL2,ベルギー,
WC,2018,WC-2018-MD028,1,GOAL,メキシコ,Carlos Vela,,26,1H,GL2,韓国,PK
WC,2018,WC-2018-MD028,2,GOAL,メキシコ,Javier Hernández,,66,2H,GL2,韓国,
WC,2018,WC-2018-MD028,3,GOAL,韓国,Heung-min Son,,90+3,2H,GL2,メキシコ,
WC,2018,WC-2018-MD029,1,GOAL,スウェーデン,Ola Toivonen,,32,1H,GL2,ドイツ,
WC,2018,WC-2018-MD029,2,GOAL,ドイツ,Marco Reus,,48,2H,GL2,スウェーデン,
WC,2018,WC-2018-MD029,3,GOAL,ドイツ,Toni Kroos,,90+5,2H,GL2,スウェーデン,
WC,2018,WC-2018-MD030,1,GOAL,イングランド,John Stones,,8,1H,GL2,パナマ,
WC,2018,WC-2018-MD030,2,GOAL,イングランド,Harry Kane,,22,1H,GL2,パナマ,PK
WC,2018,WC-2018-MD030,3,GOAL,イングランド,Jesse Lingard,,36,1H,GL2,パナマ,
WC,2018,WC-2018-MD030,4,GOAL,イングランド,John Stones,,40,1H,GL2,パナマ,
WC,2018,WC-2018-MD030,5,GOAL,イングランド,Harry Kane,,45+1,1H,GL2,パナマ,PK
WC,2018,WC-2018-MD030,6,GOAL,イングランド,Harry Kane,,62,2H,GL2,パナマ,
WC,2018,WC-2018-MD030,7,GOAL,パナマ,Felipe Baloy,,78,2H,GL2,イングランド,
WC,2018,WC-2018-MD031,1,GOAL,セネガル,Sadio Mané,,11,1H,GL2,日本,
WC,2018,WC-2018-MD031,2,GOAL,日本,Takashi Inui,,34,1H,GL2,セネガル,
WC,2018,WC-2018-MD031,3,GOAL,セネガル,Moussa Wagué,,71,2H,GL2,日本,
WC,2018,WC-2018-MD031,4,GOAL,日本,Keisuke Honda,,78,2H,GL2,セネガル,
WC,2018,WC-2018-MD032,1,GOAL,コロンビア,Yerry Mina,,40,1H,GL2,ポーランド,
WC,2018,WC-2018-MD032,2,GOAL,コロンビア,Radamel Falcao,,70,2H,GL2,ポーランド,
WC,2018,WC-2018-MD032,3,GOAL,コロンビア,Juan Cuadrado,,75,2H,GL2,ポーランド,
WC,2018,WC-2018-MD033,1,GOAL,エジプト,Mohamed Salah,,22,1H,GL3,サウジアラビア,
WC,2018,WC-2018-MD033,2,GOAL,サウジアラビア,Salman Al-Faraj,,45+6,1H,GL3,エジプト,PK
WC,2018,WC-2018-MD033,3,GOAL,サウジアラビア,Salem Al-Dawsari,,90+5,2H,GL3,エジプト,
WC,2018,WC-2018-MD034,1,GOAL,ウルグアイ,Luis Suárez,,10,1H,GL3,ロシア,
WC,2018,WC-2018-MD034,2,OWN_GOAL,ウルグアイ,Denis Cheryshev,,23,1H,GL3,ロシア,
