club_key,decade,player1,player2,player3,player4,player5,
fiorentina,2020,クリスティアーノ・ビラーギ,ジャコモ・ボナヴェントゥーラ,ニコラス・ゴンサレス,,,
parma,1990,ジャンルイジ・ブッフォン,リリアン・テュラム,ファビオ・カンナヴァーロ,ディノ・バッジョ,エルナン・クレスポ,
parma,2000,アドリアーノ,アルベルト・ジラルディーノ,セバスティアン・フレイ,,,
parma,2010,アントニオ・カッサーノ,,,,,
parma,2020,鈴木彩艶,,,,,
napoli,1990,ディエゴ・マラドーナ,カレカ,チーロ・フェラーラ,,,
napoli,2000,,,,,,
napoli,2010,マレク・ハムシク,エディンソン・カバーニ,ドリース・メルテンス,ロレンツォ・インシーニェ,カリドゥ・クリバリ,
napoli,2020,ジョバンニ・ディ・ロレンツォ,スタニスラフ・ロボツカ,キム・ミンジェ,ヴィクター・オシムヘン,フビチャ・クヴァラツヘリア,
atalanta,1990,,,,,,
atalanta,2000,クリスティアーノ・ドニ,,,,,
atalanta,2010,アレハンドロ・ゴメス,ヨシップ・イリチッチ,ドゥバン・サパタ,ラファエウ・トロイ,,
atalanta,2020,マルテン・デ・ローン,テーン・コープマイネルス,アデモラ・ルックマン,ジョルジョ・スカルヴィーニ,,
real-betis,1990,ロベルト・リオス,フィニディ・ジョージ,,,,
real-betis,2000,ホアキン・サンチェス,デニウソン,マルコス・アスンソン,リカルド・オリヴェイラ,,
real-betis,2010,ルベン・カストロ,アンドレス・グアルダード,,,,
real-betis,2020,セルヒオ・カナレス,ナビル・フェキル,イスコ,アントニー,,
