match-id,slug,competition,edition,md,stage,group,sec,datetime-local,home,home_key,away,away_key,stadium,home_score,away_score,home_score_pk,away_score_pk,mom,mom_team,note,updated_at
WC-2026-MD100,,WC,2026,MD100,Quarter-Finals,,,7/12(日)10:00,アルゼンチン,,スイス,,カンザスシティースタジアム,,,,,,,,2026/2/11
WC-2026-MD101,,WC,2026,MD101,Semi-Finals,,,7/15(水)04:00,未定,,未定,,ダラススタジアム,,,,,,,,2026/2/11
WC-2026-MD102,,WC,2026,MD102,Semi-Finals,,,7/16(木)04:00,未定,,未定,,アトランタスタジアム,,,,,,,,2026/2/11
WC-2026-MD103,,WC,2026,MD103,Third-Place,,,7/19(日)06:00,未定,,未定,,マイアミスタジアム,,,,,,,,2026/2/11
WC-2026-MD104,,WC,2026,MD104,Final,,,7/20(月)04:00,未定,,未定,,ニューヨーク/ニュージャージースタジアム,,,,,,,,2026/2/11
WC-2022-MD001,qatar-vs-ecuador,WC,2022,MD001,Group-Phase,A,第１節,11/20(日)19:00,カタール,qatar,エクアドル,ecuador,アル・バイト・スタジアム,0,2,,,エネル・バレンシア,ecuador,,2026/3/9
WC-2022-MD002,senegal-vs-netherlands,WC,2022,MD002,Group-Phase,A,第１節,11/21(月)19:00,セネガル,senegal,オランダ,netherlands,アル・トゥマーマ・スタジアム,0,2,,,コーディ・ガクポ,netherlands,,2026/3/9
WC-2022-MD003,qatar-vs-senegal,WC,2022,MD003,Group-Phase,A,第２節,11/25(金)16:00,カタール,qatar,セネガル,senegal,アル・トゥマーマ・スタジアム,1,3,,,ブライユ・ディア,senegal,,2026/3/9
WC-2022-MD004,netherlands-vs-ecuador,WC,2022,MD004,Group-Phase,A,第２節,11/25(金)19:00,オランダ,netherlands,エクアドル,ecuador,ハリーファ国際スタジアム,1,1,,,フレンキー・デ・ヨング,netherlands,,2026/3/9
WC-2022-MD005,ecuador-vs-senegal,WC,2022,MD005,Group-Phase,A,第３節,11/29(火)18:00,エクアドル,ecuador,セネガル,senegal,ハリーファ国際スタジアム,1,2,,,カリドゥ・クリバリ,senegal,,2026/3/9
